335,0,19
841,6,19
1068,1,19
1363,1,19
1666,2,19
1893,1,19
2348,4,19
2566,0,19
2978,3,19
3348,2,19
3888,6,19
4149,1,19
4596,3,19
4976,3,19
5321,3,19
5539,0,19
5790,0,19
6135,3,19
6319,0,19
6546,1,19
6849,2,19
7109,1,19
7361,0,19
7621,1,19
7924,2,19
8151,1,19
8521,2,19
8781,1,19
9042,1,19
9336,1,19
9630,1,19
9924,1,19
10151,1,19
10411,1,19
10680,2,19
10907,1,19
11091,0,19
11436,3,19
11748,3,19
11975,1,19
12278,2,19
12666,4,19
12994,1,19
13263,2,19
13599,2,19
13850,0,19
14153,2,19
14380,1,19
14674,1,19
14858,0,19
15194,2,19
15565,2,19
15868,2,19
16213,3,19
16601,4,19
16938,2,19
17327,4,19
17672,3,19
17923,0,19
18183,1,19
18477,1,19
18704,1,19
18888,0,19
19192,2,19
19495,2,19
19722,1,19
19991,2,19
20175,0,19
20445,2,19
20791,3,19
20975,0,19
21363,4,19
21853,4,19
22284,5,19
22724,6,19
22951,1,19
23288,2,19
